,content,score,Label,CaseFolding,Cleaning,Tokenizing,Stopword Removal,Stemming,dataset_join
0,"Starting in December, the app started crashing when used in the background. I've triple-checked settings. It's 100% the app's issue. This is a big problem, because listening in the background is the whole point? To listen to music? I'm not going to be staring at the app the whole time. It's so frustrating. I'm now using YouTube Music more. Scrolling functionality is weird now. They also changed the heart/like icon to a plus sign? It's not intuitive and is weird. I updated the app. Same issues.",2,Negatif,"starting in december, the app started crashing when used in the background. i've triple-checked settings. it's 100% the app's issue. this is a big problem, because listening in the background is the whole point? to listen to music? i'm not going to be staring at the app the whole time. it's so frustrating. i'm now using youtube music more. scrolling functionality is weird now. they also changed the heart/like icon to a plus sign? it's not intuitive and is weird. i updated the app. same issues.",starting in december  the app started crashing when used in the background  i ve triple checked settings  it s  % the app s issue  this is a big problem  because listening in the background is the whole point  to listen to music  i m not going to be staring at the app the whole time  it s so frustrating  i m now using youtube music more  scrolling functionality is weird now  they also changed the heart like icon to a plus sign  it s not intuitive and is weird  i updated the app  same issues,"['starting', 'in', 'december', 'the', 'app', 'started', 'crashing', 'when', 'used', 'in', 'the', 'background', 'i', 've', 'triple', 'checked', 'settings', 'it', 's', '%', 'the', 'app', 's', 'issue', 'this', 'is', 'a', 'big', 'problem', 'because', 'listening', 'in', 'the', 'background', 'is', 'the', 'whole', 'point', 'to', 'listen', 'to', 'music', 'i', 'm', 'not', 'going', 'to', 'be', 'staring', 'at', 'the', 'app', 'the', 'whole', 'time', 'it', 's', 'so', 'frustrating', 'i', 'm', 'now', 'using', 'youtube', 'music', 'more', 'scrolling', 'functionality', 'is', 'weird', 'now', 'they', 'also', 'changed', 'the', 'heart', 'like', 'icon', 'to', 'a', 'plus', 'sign', 'it', 's', 'not', 'intuitive', 'and', 'is', 'weird', 'i', 'updated', 'the', 'app', 'same', 'issues']","['starting', 'december', 'app', 'started', 'crashing', 'used', 'background', 'triple', 'checked', 'settings', '%', 'app', 'issue', 'big', 'problem', 'listening', 'background', 'whole', 'point', 'listen', 'music', 'going', 'staring', 'app', 'whole', 'time', 'frustrating', 'using', 'youtube', 'music', 'scrolling', 'functionality', 'weird', 'also', 'changed', 'heart', 'like', 'icon', 'plus', 'sign', 'intuitive', 'weird', 'updated', 'app', 'issues']","['start', 'decemb', 'app', 'start', 'crash', 'use', 'background', 'tripl', 'check', 'set', '%', 'app', 'issu', 'big', 'problem', 'listen', 'background', 'whole', 'point', 'listen', 'music', 'go', 'stare', 'app', 'whole', 'time', 'frustrat', 'use', 'youtub', 'music', 'scroll', 'function', 'weird', 'also', 'chang', 'heart', 'like', 'icon', 'plu', 'sign', 'intuit', 'weird', 'updat', 'app', 'issu']",start decemb app start crash use background tripl check set % app issu big problem listen background whole point listen music go stare app whole time frustrat use youtub music scroll function weird also chang heart like icon plu sign intuit weird updat app issu
1,"I've loved this app for many years. Lately, however, songs in my playlists will switch places; specifically, a song from the middle, and the first song. The bulk of my playlists are in a specific order (an artist's complete chronological discography, usually), so this presents a significant issue. Furthermore, many of the playlists integrate songs from my phone, so remaking the playlist would be a major hassle. I hope that this issue will be rectified soon.",3,Negatif,"i've loved this app for many years. lately, however, songs in my playlists will switch places; specifically, a song from the middle, and the first song. the bulk of my playlists are in a specific order (an artist's complete chronological discography, usually), so this presents a significant issue. furthermore, many of the playlists integrate songs from my phone, so remaking the playlist would be a major hassle. i hope that this issue will be rectified soon.",i ve loved this app for many years  lately  however  songs in my playlists will switch places  specifically  a song from the middle  and the first song  the bulk of my playlists are in a specific order  an artist s complete chronological discography  usually so this presents a significant issue  furthermore  many of the playlists integrate songs from my phone  so remaking the playlist would be a major hassle  i hope that this issue will be rectified soon,"['i', 've', 'loved', 'this', 'app', 'for', 'many', 'years', 'lately', 'however', 'songs', 'in', 'my', 'playlists', 'will', 'switch', 'places', 'specifically', 'a', 'song', 'from', 'the', 'middle', 'and', 'the', 'first', 'song', 'the', 'bulk', 'of', 'my', 'playlists', 'are', 'in', 'a', 'specific', 'order', 'an', 'artist', 's', 'complete', 'chronological', 'discography', 'usually', 'so', 'this', 'presents', 'a', 'significant', 'issue', 'furthermore', 'many', 'of', 'the', 'playlists', 'integrate', 'songs', 'from', 'my', 'phone', 'so', 'remaking', 'the', 'playlist', 'would', 'be', 'a', 'major', 'hassle', 'i', 'hope', 'that', 'this', 'issue', 'will', 'be', 'rectified', 'soon']","['loved', 'app', 'many', 'years', 'lately', 'however', 'songs', 'playlists', 'switch', 'places', 'specifically', 'song', 'middle', 'first', 'song', 'bulk', 'playlists', 'specific', 'order', 'artist', 'complete', 'chronological', 'discography', 'usually', 'presents', 'significant', 'issue', 'furthermore', 'many', 'playlists', 'integrate', 'songs', 'phone', 'remaking', 'playlist', 'would', 'major', 'hassle', 'hope', 'issue', 'rectified', 'soon']","['love', 'app', 'mani', 'year', 'late', 'howev', 'song', 'playlist', 'switch', 'place', 'specif', 'song', 'middl', 'first', 'song', 'bulk', 'playlist', 'specif', 'order', 'artist', 'complet', 'chronolog', 'discographi', 'usual', 'present', 'signific', 'issu', 'furthermor', 'mani', 'playlist', 'integr', 'song', 'phone', 'remak', 'playlist', 'would', 'major', 'hassl', 'hope', 'issu', 'rectifi', 'soon']",love app mani year late howev song playlist switch place specif song middl first song bulk playlist specif order artist complet chronolog discographi usual present signific issu furthermor mani playlist integr song phone remak playlist would major hassl hope issu rectifi soon
2,"Spotify is my favorite music streaming app by a landslide, and I'm on the iPhone app pretty much 24/7, but the Chrome version still needs some work. It's clunky, and it pretty reliably crashes or freezes. In fact, I just downloaded the updated version hoping it would have improved upon this problem, and the app opened - to a nicer interface - and then crashed inside of ~30 seconds. Hoping to see improvements in the future, but in the meantime, I'll be mostly hanging out on my iPhone app.",3,Negatif,"spotify is my favorite music streaming app by a landslide, and i'm on the iphone app pretty much 24/7, but the chrome version still needs some work. it's clunky, and it pretty reliably crashes or freezes. in fact, i just downloaded the updated version hoping it would have improved upon this problem, and the app opened - to a nicer interface - and then crashed inside of ~30 seconds. hoping to see improvements in the future, but in the meantime, i'll be mostly hanging out on my iphone app.",spotify is my favorite music streaming app by a landslide  and i m on the iphone app pretty much but the chrome version still needs some work  it s clunky  and it pretty reliably crashes or freezes  in fact  i just downloaded the updated version hoping it would have improved upon this problem  and the app opened to a nicer interface and then crashed inside of seconds  hoping to see improvements in the future  but in the meantime  i ll be mostly hanging out on my iphone app,"['spotify', 'is', 'my', 'favorite', 'music', 'streaming', 'app', 'by', 'a', 'landslide', 'and', 'i', 'm', 'on', 'the', 'iphone', 'app', 'pretty', 'much', 'but', 'the', 'chrome', 'version', 'still', 'needs', 'some', 'work', 'it', 's', 'clunky', 'and', 'it', 'pretty', 'reliably', 'crashes', 'or', 'freezes', 'in', 'fact', 'i', 'just', 'downloaded', 'the', 'updated', 'version', 'hoping', 'it', 'would', 'have', 'improved', 'upon', 'this', 'problem', 'and', 'the', 'app', 'opened', 'to', 'a', 'nicer', 'interface', 'and', 'then', 'crashed', 'inside', 'of', 'seconds', 'hoping', 'to', 'see', 'improvements', 'in', 'the', 'future', 'but', 'in', 'the', 'meantime', 'i', 'll', 'be', 'mostly', 'hanging', 'out', 'on', 'my', 'iphone', 'app']","['spotify', 'favorite', 'music', 'streaming', 'app', 'landslide', 'iphone', 'app', 'pretty', 'much', 'chrome', 'version', 'still', 'needs', 'work', 'clunky', 'pretty', 'reliably', 'crashes', 'freezes', 'fact', 'downloaded', 'updated', 'version', 'hoping', 'would', 'improved', 'upon', 'problem', 'app', 'opened', 'nicer', 'interface', 'crashed', 'inside', 'seconds', 'hoping', 'see', 'improvements', 'future', 'meantime', 'mostly', 'hanging', 'iphone', 'app']","['spotifi', 'favorit', 'music', 'stream', 'app', 'landslid', 'iphon', 'app', 'pretti', 'much', 'chrome', 'version', 'still', 'need', 'work', 'clunki', 'pretti', 'reliabl', 'crash', 'freez', 'fact', 'download', 'updat', 'version', 'hope', 'would', 'improv', 'upon', 'problem', 'app', 'open', 'nicer', 'interfac', 'crash', 'insid', 'second', 'hope', 'see', 'improv', 'futur', 'meantim', 'mostli', 'hang', 'iphon', 'app']",spotifi favorit music stream app landslid iphon app pretti much chrome version still need work clunki pretti reliabl crash freez fact download updat version hope would improv upon problem app open nicer interfac crash insid second hope see improv futur meantim mostli hang iphon app
3,"It's really annoying when the music doesn't have lyrics and like 70% of the time the lyrics aren't there. For the free users, there too many ads and you can't even play it in shuffle order. The only thing I like about this app is that there's a lot of good playlists already there and there are great podcasts and it has pretty good song recommendation.",2,Negatif,"it's really annoying when the music doesn't have lyrics and like 70% of the time the lyrics aren't there. for the free users, there too many ads and you can't even play it in shuffle order. the only thing i like about this app is that there's a lot of good playlists already there and there are great podcasts and it has pretty good song recommendation.",it s really annoying when the music doesn t have lyrics and like  % of the time the lyrics aren t there  for the free users  there too many ads and you can t even play it in shuffle order  the only thing i like about this app is that there s a lot of good playlists already there and there are great podcasts and it has pretty good song recommendation,"['it', 's', 'really', 'annoying', 'when', 'the', 'music', 'doesn', 't', 'have', 'lyrics', 'and', 'like', '%', 'of', 'the', 'time', 'the', 'lyrics', 'aren', 't', 'there', 'for', 'the', 'free', 'users', 'there', 'too', 'many', 'ads', 'and', 'you', 'can', 't', 'even', 'play', 'it', 'in', 'shuffle', 'order', 'the', 'only', 'thing', 'i', 'like', 'about', 'this', 'app', 'is', 'that', 'there', 's', 'a', 'lot', 'of', 'good', 'playlists', 'already', 'there', 'and', 'there', 'are', 'great', 'podcasts', 'and', 'it', 'has', 'pretty', 'good', 'song', 'recommendation']","['really', 'annoying', 'music', 'lyrics', 'like', '%', 'time', 'lyrics', 'free', 'users', 'many', 'ads', 'even', 'play', 'shuffle', 'order', 'thing', 'like', 'app', 'lot', 'good', 'playlists', 'already', 'great', 'podcasts', 'pretty', 'good', 'song', 'recommendation']","['realli', 'annoy', 'music', 'lyric', 'like', '%', 'time', 'lyric', 'free', 'user', 'mani', 'ad', 'even', 'play', 'shuffl', 'order', 'thing', 'like', 'app', 'lot', 'good', 'playlist', 'alreadi', 'great', 'podcast', 'pretti', 'good', 'song', 'recommend']",realli annoy music lyric like % time lyric free user mani ad even play shuffl order thing like app lot good playlist alreadi great podcast pretti good song recommend
4,"Great library, generally easy to use. Negatives: Search feature sometimes just doesn't work. I'm connected to wifi, but it will hang for 5 minutes plus without giving any results. Just the loading circle. UX with using it in airplane mode is also really poor, even in offline mode sometimes it just won't play downloaded songs. Still better than YouTube music.",2,Negatif,"great library, generally easy to use. negatives: search feature sometimes just doesn't work. i'm connected to wifi, but it will hang for 5 minutes plus without giving any results. just the loading circle. ux with using it in airplane mode is also really poor, even in offline mode sometimes it just won't play downloaded songs. still better than youtube music.",great library  generally easy to use  negatives  search feature sometimes just doesn t work  i m connected to wifi  but it will hang for minutes plus without giving any results  just the loading circle  ux with using it in airplane mode is also really poor  even in offline mode sometimes it just won t play downloaded songs  still better than youtube music,"['great', 'library', 'generally', 'easy', 'to', 'use', 'negatives', 'search', 'feature', 'sometimes', 'just', 'doesn', 't', 'work', 'i', 'm', 'connected', 'to', 'wifi', 'but', 'it', 'will', 'hang', 'for', 'minutes', 'plus', 'without', 'giving', 'any', 'results', 'just', 'the', 'loading', 'circle', 'ux', 'with', 'using', 'it', 'in', 'airplane', 'mode', 'is', 'also', 'really', 'poor', 'even', 'in', 'offline', 'mode', 'sometimes', 'it', 'just', 'won', 't', 'play', 'downloaded', 'songs', 'still', 'better', 'than', 'youtube', 'music']","['great', 'library', 'generally', 'easy', 'use', 'negatives', 'search', 'feature', 'sometimes', 'work', 'connected', 'wifi', 'hang', 'minutes', 'plus', 'without', 'giving', 'results', 'loading', 'circle', 'ux', 'using', 'airplane', 'mode', 'also', 'really', 'poor', 'even', 'offline', 'mode', 'sometimes', 'play', 'downloaded', 'songs', 'still', 'better', 'youtube', 'music']","['great', 'librari', 'gener', 'easi', 'use', 'neg', 'search', 'featur', 'sometim', 'work', 'connect', 'wifi', 'hang', 'minut', 'plu', 'without', 'give', 'result', 'load', 'circl', 'ux', 'use', 'airplan', 'mode', 'also', 'realli', 'poor', 'even', 'offlin', 'mode', 'sometim', 'play', 'download', 'song', 'still', 'better', 'youtub', 'music']",great librari gener easi use neg search featur sometim work connect wifi hang minut plu without give result load circl ux use airplan mode also realli poor even offlin mode sometim play download song still better youtub music
5,"I like the app overall and the choice of music is excellent. I also like the fact it has a free tier and am happy to accept it is supported by advertising. What I don't like is that the adverts are turned up SO LOUD it feels as if they're trying to torture me into buying a product I probably have no interest in. I'm not deaf (yet), play the advert the same volume as I have my music set, if I can hear that, I can hear your advert. I'll listen again when you fix this.",2,Negatif,"i like the app overall and the choice of music is excellent. i also like the fact it has a free tier and am happy to accept it is supported by advertising. what i don't like is that the adverts are turned up so loud it feels as if they're trying to torture me into buying a product i probably have no interest in. i'm not deaf (yet), play the advert the same volume as i have my music set, if i can hear that, i can hear your advert. i'll listen again when you fix this.",i like the app overall and the choice of music is excellent  i also like the fact it has a free tier and am happy to accept it is supported by advertising  what i don t like is that the adverts are turned up so loud it feels as if they re trying to torture me into buying a product i probably have no interest in  i m not deaf  yet play the advert the same volume as i have my music set  if i can hear that  i can hear your advert  i ll listen again when you fix this,"['i', 'like', 'the', 'app', 'overall', 'and', 'the', 'choice', 'of', 'music', 'is', 'excellent', 'i', 'also', 'like', 'the', 'fact', 'it', 'has', 'a', 'free', 'tier', 'and', 'am', 'happy', 'to', 'accept', 'it', 'is', 'supported', 'by', 'advertising', 'what', 'i', 'don', 't', 'like', 'is', 'that', 'the', 'adverts', 'are', 'turned', 'up', 'so', 'loud', 'it', 'feels', 'as', 'if', 'they', 're', 'trying', 'to', 'torture', 'me', 'into', 'buying', 'a', 'product', 'i', 'probably', 'have', 'no', 'interest', 'in', 'i', 'm', 'not', 'deaf', 'yet', 'play', 'the', 'advert', 'the', 'same', 'volume', 'as', 'i', 'have', 'my', 'music', 'set', 'if', 'i', 'can', 'hear', 'that', 'i', 'can', 'hear', 'your', 'advert', 'i', 'll', 'listen', 'again', 'when', 'you', 'fix', 'this']","['like', 'app', 'overall', 'choice', 'music', 'excellent', 'also', 'like', 'fact', 'free', 'tier', 'happy', 'accept', 'supported', 'advertising', 'like', 'adverts', 'turned', 'loud', 'feels', 'trying', 'torture', 'buying', 'product', 'probably', 'interest', 'deaf', 'yet', 'play', 'advert', 'volume', 'music', 'set', 'hear', 'hear', 'advert', 'listen', 'fix']","['like', 'app', 'overal', 'choic', 'music', 'excel', 'also', 'like', 'fact', 'free', 'tier', 'happi', 'accept', 'support', 'advertis', 'like', 'advert', 'turn', 'loud', 'feel', 'tri', 'tortur', 'buy', 'product', 'probabl', 'interest', 'deaf', 'yet', 'play', 'advert', 'volum', 'music', 'set', 'hear', 'hear', 'advert', 'listen', 'fix']",like app overal choic music excel also like fact free tier happi accept support advertis like advert turn loud feel tri tortur buy product probabl interest deaf yet play advert volum music set hear hear advert listen fix
6,"Please bring back the Enhance feature! Using Enhance, I could build massive playlists starting with only a few songs. It was amazing for music discovery, one of the main reasons I use Spotify. There was absolutely no reason to remove that entirely unobtrusive feature, and nothing else Spotify offers is comparable. I could easily see which songs were suggested and quickly add the ones I liked. Giving a kid candy and then taking it away is just mean. I've had premium for years. How disappointing.",1,Negatif,"please bring back the enhance feature! using enhance, i could build massive playlists starting with only a few songs. it was amazing for music discovery, one of the main reasons i use spotify. there was absolutely no reason to remove that entirely unobtrusive feature, and nothing else spotify offers is comparable. i could easily see which songs were suggested and quickly add the ones i liked. giving a kid candy and then taking it away is just mean. i've had premium for years. how disappointing.",please bring back the enhance feature  using enhance  i could build massive playlists starting with only a few songs  it was amazing for music discovery  one of the main reasons i use spotify  there was absolutely no reason to remove that entirely unobtrusive feature  and nothing else spotify offers is comparable  i could easily see which songs were suggested and quickly add the ones i liked  giving a kid candy and then taking it away is just mean  i ve had premium for years  how disappointing,"['please', 'bring', 'back', 'the', 'enhance', 'feature', 'using', 'enhance', 'i', 'could', 'build', 'massive', 'playlists', 'starting', 'with', 'only', 'a', 'few', 'songs', 'it', 'was', 'amazing', 'for', 'music', 'discovery', 'one', 'of', 'the', 'main', 'reasons', 'i', 'use', 'spotify', 'there', 'was', 'absolutely', 'no', 'reason', 'to', 'remove', 'that', 'entirely', 'unobtrusive', 'feature', 'and', 'nothing', 'else', 'spotify', 'offers', 'is', 'comparable', 'i', 'could', 'easily', 'see', 'which', 'songs', 'were', 'suggested', 'and', 'quickly', 'add', 'the', 'ones', 'i', 'liked', 'giving', 'a', 'kid', 'candy', 'and', 'then', 'taking', 'it', 'away', 'is', 'just', 'mean', 'i', 've', 'had', 'premium', 'for', 'years', 'how', 'disappointing']","['please', 'bring', 'back', 'enhance', 'feature', 'using', 'enhance', 'could', 'build', 'massive', 'playlists', 'starting', 'songs', 'amazing', 'music', 'discovery', 'one', 'main', 'reasons', 'use', 'spotify', 'absolutely', 'reason', 'remove', 'entirely', 'unobtrusive', 'feature', 'nothing', 'else', 'spotify', 'offers', 'comparable', 'could', 'easily', 'see', 'songs', 'suggested', 'quickly', 'add', 'ones', 'liked', 'giving', 'kid', 'candy', 'taking', 'away', 'mean', 'premium', 'years', 'disappointing']","['pleas', 'bring', 'back', 'enhanc', 'featur', 'use', 'enhanc', 'could', 'build', 'massiv', 'playlist', 'start', 'song', 'amaz', 'music', 'discoveri', 'one', 'main', 'reason', 'use', 'spotifi', 'absolut', 'reason', 'remov', 'entir', 'unobtrus', 'featur', 'noth', 'els', 'spotifi', 'offer', 'compar', 'could', 'easili', 'see', 'song', 'suggest', 'quickli', 'add', 'one', 'like', 'give', 'kid', 'candi', 'take', 'away', 'mean', 'premium', 'year', 'disappoint']",pleas bring back enhanc featur use enhanc could build massiv playlist start song amaz music discoveri one main reason use spotifi absolut reason remov entir unobtrus featur noth els spotifi offer compar could easili see song suggest quickli add one like give kid candi take away mean premium year disappoint
7,"I used to love this app but the smart shuffle completely ruins my listening experience and I can't turn it off. It means that when I want to listen to a specific playlist or album, the app will start playing whatever it thinks I want to hear - except what I try to listen to. If I click on an album, I obviously want to listen to THAT album. If they were to play similar music after that playlist is over, that's fine. But it starts immediately. Not tempted to go back to premium.",1,Negatif,"i used to love this app but the smart shuffle completely ruins my listening experience and i can't turn it off. it means that when i want to listen to a specific playlist or album, the app will start playing whatever it thinks i want to hear - except what i try to listen to. if i click on an album, i obviously want to listen to that album. if they were to play similar music after that playlist is over, that's fine. but it starts immediately. not tempted to go back to premium.",i used to love this app but the smart shuffle completely ruins my listening experience and i can t turn it off  it means that when i want to listen to a specific playlist or album  the app will start playing whatever it thinks i want to hear except what i try to listen to  if i click on an album  i obviously want to listen to that album  if they were to play similar music after that playlist is over  that s fine  but it starts immediately  not tempted to go back to premium,"['i', 'used', 'to', 'love', 'this', 'app', 'but', 'the', 'smart', 'shuffle', 'completely', 'ruins', 'my', 'listening', 'experience', 'and', 'i', 'can', 't', 'turn', 'it', 'off', 'it', 'means', 'that', 'when', 'i', 'want', 'to', 'listen', 'to', 'a', 'specific', 'playlist', 'or', 'album', 'the', 'app', 'will', 'start', 'playing', 'whatever', 'it', 'thinks', 'i', 'want', 'to', 'hear', 'except', 'what', 'i', 'try', 'to', 'listen', 'to', 'if', 'i', 'click', 'on', 'an', 'album', 'i', 'obviously', 'want', 'to', 'listen', 'to', 'that', 'album', 'if', 'they', 'were', 'to', 'play', 'similar', 'music', 'after', 'that', 'playlist', 'is', 'over', 'that', 's', 'fine', 'but', 'it', 'starts', 'immediately', 'not', 'tempted', 'to', 'go', 'back', 'to', 'premium']","['used', 'love', 'app', 'smart', 'shuffle', 'completely', 'ruins', 'listening', 'experience', 'turn', 'means', 'want', 'listen', 'specific', 'playlist', 'album', 'app', 'start', 'playing', 'whatever', 'thinks', 'want', 'hear', 'except', 'try', 'listen', 'click', 'album', 'obviously', 'want', 'listen', 'album', 'play', 'similar', 'music', 'playlist', 'fine', 'starts', 'immediately', 'tempted', 'go', 'back', 'premium']","['use', 'love', 'app', 'smart', 'shuffl', 'complet', 'ruin', 'listen', 'experi', 'turn', 'mean', 'want', 'listen', 'specif', 'playlist', 'album', 'app', 'start', 'play', 'whatev', 'think', 'want', 'hear', 'except', 'tri', 'listen', 'click', 'album', 'obvious', 'want', 'listen', 'album', 'play', 'similar', 'music', 'playlist', 'fine', 'start', 'immedi', 'tempt', 'go', 'back', 'premium']",use love app smart shuffl complet ruin listen experi turn mean want listen specif playlist album app start play whatev think want hear except tri listen click album obvious want listen album play similar music playlist fine start immedi tempt go back premium
8,"After many years of happily using the Spotify mobile app on several Android phones, within the past few months, it's become non-functional. The home screen MIGHT load, and if I can get a second screen to load (which is rarely if ever), it can't play a song. Even if my phone and desktop are on the same wi-fi, the mobile app does not recognize the second device and I can't switch between them. No matter how many times I uninstall and reinstall the app, this has only gotten worse. Please fix ASAP.",1,Negatif,"after many years of happily using the spotify mobile app on several android phones, within the past few months, it's become non-functional. the home screen might load, and if i can get a second screen to load (which is rarely if ever), it can't play a song. even if my phone and desktop are on the same wi-fi, the mobile app does not recognize the second device and i can't switch between them. no matter how many times i uninstall and reinstall the app, this has only gotten worse. please fix asap.",after many years of happily using the spotify mobile app on several android phones  within the past few months  it s become non functional  the home screen might load  and if i can get a second screen to load  which is rarely if ever it can t play a song  even if my phone and desktop are on the same wi fi  the mobile app does not recognize the second device and i can t switch between them  no matter how many times i uninstall and reinstall the app  this has only gotten worse  please fix asap,"['after', 'many', 'years', 'of', 'happily', 'using', 'the', 'spotify', 'mobile', 'app', 'on', 'several', 'android', 'phones', 'within', 'the', 'past', 'few', 'months', 'it', 's', 'become', 'non', 'functional', 'the', 'home', 'screen', 'might', 'load', 'and', 'if', 'i', 'can', 'get', 'a', 'second', 'screen', 'to', 'load', 'which', 'is', 'rarely', 'if', 'ever', 'it', 'can', 't', 'play', 'a', 'song', 'even', 'if', 'my', 'phone', 'and', 'desktop', 'are', 'on', 'the', 'same', 'wi', 'fi', 'the', 'mobile', 'app', 'does', 'not', 'recognize', 'the', 'second', 'device', 'and', 'i', 'can', 't', 'switch', 'between', 'them', 'no', 'matter', 'how', 'many', 'times', 'i', 'uninstall', 'and', 'reinstall', 'the', 'app', 'this', 'has', 'only', 'gotten', 'worse', 'please', 'fix', 'asap']","['many', 'years', 'happily', 'using', 'spotify', 'mobile', 'app', 'several', 'android', 'phones', 'within', 'past', 'months', 'become', 'non', 'functional', 'home', 'screen', 'might', 'load', 'get', 'second', 'screen', 'load', 'rarely', 'ever', 'play', 'song', 'even', 'phone', 'desktop', 'wi', 'fi', 'mobile', 'app', 'recognize', 'second', 'device', 'switch', 'matter', 'many', 'times', 'uninstall', 'reinstall', 'app', 'gotten', 'worse', 'please', 'fix', 'asap']","['mani', 'year', 'happili', 'use', 'spotifi', 'mobil', 'app', 'sever', 'android', 'phone', 'within', 'past', 'month', 'becom', 'non', 'function', 'home', 'screen', 'might', 'load', 'get', 'second', 'screen', 'load', 'rare', 'ever', 'play', 'song', 'even', 'phone', 'desktop', 'wi', 'fi', 'mobil', 'app', 'recogn', 'second', 'devic', 'switch', 'matter', 'mani', 'time', 'uninstal', 'reinstal', 'app', 'gotten', 'wors', 'pleas', 'fix', 'asap']",mani year happili use spotifi mobil app sever android phone within past month becom non function home screen might load get second screen load rare ever play song even phone desktop wi fi mobil app recogn second devic switch matter mani time uninstal reinstal app gotten wors pleas fix asap
9,"Literally the only thing I want to do is shuffle songs, and it won't. IT plays the most recently added songs in the order I added them, no matter what I do. I've restarted the app, restarted my phone, deleted and re downloaded the app, I'm sitting here clearing out the queue song by song and they just pop right back up again. Shuffling songs is the most basic feature of a music app, absolutely ridiculous. I have had nothing but problems since I started using Spoify. I'm going back to YT music.",1,Negatif,"literally the only thing i want to do is shuffle songs, and it won't. it plays the most recently added songs in the order i added them, no matter what i do. i've restarted the app, restarted my phone, deleted and re downloaded the app, i'm sitting here clearing out the queue song by song and they just pop right back up again. shuffling songs is the most basic feature of a music app, absolutely ridiculous. i have had nothing but problems since i started using spoify. i'm going back to yt music.",literally the only thing i want to do is shuffle songs  and it won t  it plays the most recently added songs in the order i added them  no matter what i do  i ve restarted the app  restarted my phone  deleted and re downloaded the app  i m sitting here clearing out the queue song by song and they just pop right back up again  shuffling songs is the most basic feature of a music app  absolutely ridiculous  i have had nothing but problems since i started using spoify  i m going back to yt music,"['literally', 'the', 'only', 'thing', 'i', 'want', 'to', 'do', 'is', 'shuffle', 'songs', 'and', 'it', 'won', 't', 'it', 'plays', 'the', 'most', 'recently', 'added', 'songs', 'in', 'the', 'order', 'i', 'added', 'them', 'no', 'matter', 'what', 'i', 'do', 'i', 've', 'restarted', 'the', 'app', 'restarted', 'my', 'phone', 'deleted', 'and', 're', 'downloaded', 'the', 'app', 'i', 'm', 'sitting', 'here', 'clearing', 'out', 'the', 'queue', 'song', 'by', 'song', 'and', 'they', 'just', 'pop', 'right', 'back', 'up', 'again', 'shuffling', 'songs', 'is', 'the', 'most', 'basic', 'feature', 'of', 'a', 'music', 'app', 'absolutely', 'ridiculous', 'i', 'have', 'had', 'nothing', 'but', 'problems', 'since', 'i', 'started', 'using', 'spoify', 'i', 'm', 'going', 'back', 'to', 'yt', 'music']","['literally', 'thing', 'want', 'shuffle', 'songs', 'plays', 'recently', 'added', 'songs', 'order', 'added', 'matter', 'restarted', 'app', 'restarted', 'phone', 'deleted', 'downloaded', 'app', 'sitting', 'clearing', 'queue', 'song', 'song', 'pop', 'right', 'back', 'shuffling', 'songs', 'basic', 'feature', 'music', 'app', 'absolutely', 'ridiculous', 'nothing', 'problems', 'since', 'started', 'using', 'spoify', 'going', 'back', 'yt', 'music']","['liter', 'thing', 'want', 'shuffl', 'song', 'play', 'recent', 'ad', 'song', 'order', 'ad', 'matter', 'restart', 'app', 'restart', 'phone', 'delet', 'download', 'app', 'sit', 'clear', 'queue', 'song', 'song', 'pop', 'right', 'back', 'shuffl', 'song', 'basic', 'featur', 'music', 'app', 'absolut', 'ridicul', 'noth', 'problem', 'sinc', 'start', 'use', 'spoifi', 'go', 'back', 'yt', 'music']",liter thing want shuffl song play recent ad song order ad matter restart app restart phone delet download app sit clear queue song song pop right back shuffl song basic featur music app absolut ridicul noth problem sinc start use spoifi go back yt music
