,content,score,Label,CaseFolding,Cleaning,Tokenizing,Stopword Removal,Stemming,dataset_join
0,"Saya sangat senang menggunakan Spotify, lagunya bervariasi mulai yang lawas bgt sampai yang terbaru juga ada, namun amat disayangkan akhir akhir ini Spotify sepertinya mengurangi fitur lirik pada lagu, ini teramat disayangkan. Padahal dengan lirik tersebut pendengar bisa karaoke dan enjoy menikmati lagu apalagi kalau lagu asing dan membutuhkan terjemahan. Saya harap Spotify memperbaiki fitur lirik pada laguu. Selebihnya saya fine fine saja hanya pada lirik lagu.",2,Negatif,"saya sangat senang menggunakan spotify, lagunya bervariasi mulai yang lawas bgt sampai yang terbaru juga ada, namun amat disayangkan akhir akhir ini spotify sepertinya mengurangi fitur lirik pada lagu, ini teramat disayangkan. padahal dengan lirik tersebut pendengar bisa karaoke dan enjoy menikmati lagu apalagi kalau lagu asing dan membutuhkan terjemahan. saya harap spotify memperbaiki fitur lirik pada laguu. selebihnya saya fine fine saja hanya pada lirik lagu.",saya sangat senang menggunakan spotify  lagunya bervariasi mulai yang lawas bgt sampai yang terbaru juga ada  namun amat disayangkan akhir akhir ini spotify sepertinya mengurangi fitur lirik pada lagu  ini teramat disayangkan  padahal dengan lirik tersebut pendengar bisa karaoke dan enjoy menikmati lagu apalagi kalau lagu asing dan membutuhkan terjemahan  saya harap spotify memperbaiki fitur lirik pada laguu  selebihnya saya fine fine saja hanya pada lirik lagu,"['saya', 'sangat', 'senang', 'menggunakan', 'spotify', 'lagunya', 'bervariasi', 'mulai', 'yang', 'lawas', 'bgt', 'sampai', 'yang', 'terbaru', 'juga', 'ada', 'namun', 'amat', 'disayangkan', 'akhir', 'akhir', 'ini', 'spotify', 'sepertinya', 'mengurangi', 'fitur', 'lirik', 'pada', 'lagu', 'ini', 'teramat', 'disayangkan', 'padahal', 'dengan', 'lirik', 'tersebut', 'pendengar', 'bisa', 'karaoke', 'dan', 'enjoy', 'menikmati', 'lagu', 'apalagi', 'kalau', 'lagu', 'asing', 'dan', 'membutuhkan', 'terjemahan', 'saya', 'harap', 'spotify', 'memperbaiki', 'fitur', 'lirik', 'pada', 'laguu', 'selebihnya', 'saya', 'fine', 'fine', 'saja', 'hanya', 'pada', 'lirik', 'lagu']","['senang', 'spotify', 'lagunya', 'bervariasi', 'lawas', 'bgt', 'terbaru', 'disayangkan', 'spotify', 'mengurangi', 'fitur', 'lirik', 'lagu', 'teramat', 'disayangkan', 'lirik', 'pendengar', 'karaoke', 'enjoy', 'menikmati', 'lagu', 'lagu', 'asing', 'membutuhkan', 'terjemahan', 'harap', 'spotify', 'memperbaiki', 'fitur', 'lirik', 'laguu', 'selebihnya', 'fine', 'fine', 'lirik', 'lagu']","['senang', 'spotify', 'lagu', 'variasi', 'lawas', 'bgt', 'baru', 'sayang', 'spotify', 'kurang', 'fitur', 'lirik', 'lagu', 'amat', 'sayang', 'lirik', 'dengar', 'karaoke', 'enjoy', 'nikmat', 'lagu', 'lagu', 'asing', 'butuh', 'terjemah', 'harap', 'spotify', 'baik', 'fitur', 'lirik', 'laguu', 'lebih', 'fine', 'fine', 'lirik', 'lagu']",senang spotify lagu variasi lawas bgt baru sayang spotify kurang fitur lirik lagu amat sayang lirik dengar karaoke enjoy nikmat lagu lagu asing butuh terjemah harap spotify baik fitur lirik laguu lebih fine fine lirik lagu
1,"Aplikasi nya bagus, gratis bisa sepuasnya tetapi ada masalah, seperti iklan yang sangat banyak pas saya ganti lagu iklan bisa 3-4 kali muncul,ya memang kalo mau gak ada iklan harus premium,tapi kalo iklan nya udah sampai 4 kali kayak gitu ya kebanyakan sih,mana iklannya 30 detik, berarti 4 iklan udah 2 menit, yang di putar cuma satu lagu, iklan nya setengah dari lagu malah,ya jadi begitu aja perdapat saya tentang iklan, kalau sudah dikurangi iklan nya saya kasih bintang 5 deh,",3,Negatif,"aplikasi nya bagus, gratis bisa sepuasnya tetapi ada masalah, seperti iklan yang sangat banyak pas saya ganti lagu iklan bisa 3-4 kali muncul,ya memang kalo mau gak ada iklan harus premium,tapi kalo iklan nya udah sampai 4 kali kayak gitu ya kebanyakan sih,mana iklannya 30 detik, berarti 4 iklan udah 2 menit, yang di putar cuma satu lagu, iklan nya setengah dari lagu malah,ya jadi begitu aja perdapat saya tentang iklan, kalau sudah dikurangi iklan nya saya kasih bintang 5 deh,",aplikasi nya bagus  gratis bisa sepuasnya tetapi ada masalah  seperti iklan yang sangat banyak pas saya ganti lagu iklan bisa kali muncul ya memang kalo mau gak ada iklan harus premium tapi kalo iklan nya udah sampai kali kayak gitu ya kebanyakan sih mana iklannya detik  berarti iklan udah menit  yang di putar cuma satu lagu  iklan nya setengah dari lagu malah ya jadi begitu aja perdapat saya tentang iklan  kalau sudah dikurangi iklan nya saya kasih bintang deh,"['aplikasi', 'nya', 'bagus', 'gratis', 'bisa', 'sepuasnya', 'tetapi', 'ada', 'masalah', 'seperti', 'iklan', 'yang', 'sangat', 'banyak', 'pas', 'saya', 'ganti', 'lagu', 'iklan', 'bisa', 'kali', 'muncul', 'ya', 'memang', 'kalo', 'mau', 'gak', 'ada', 'iklan', 'harus', 'premium', 'tapi', 'kalo', 'iklan', 'nya', 'udah', 'sampai', 'kali', 'kayak', 'gitu', 'ya', 'kebanyakan', 'sih', 'mana', 'iklannya', 'detik', 'berarti', 'iklan', 'udah', 'menit', 'yang', 'di', 'putar', 'cuma', 'satu', 'lagu', 'iklan', 'nya', 'setengah', 'dari', 'lagu', 'malah', 'ya', 'jadi', 'begitu', 'aja', 'perdapat', 'saya', 'tentang', 'iklan', 'kalau', 'sudah', 'dikurangi', 'iklan', 'nya', 'saya', 'kasih', 'bintang', 'deh']","['aplikasi', 'nya', 'bagus', 'gratis', 'sepuasnya', 'iklan', 'pas', 'ganti', 'lagu', 'iklan', 'kali', 'muncul', 'ya', 'kalo', 'gak', 'iklan', 'premium', 'kalo', 'iklan', 'nya', 'udah', 'kali', 'kayak', 'gitu', 'ya', 'kebanyakan', 'sih', 'iklannya', 'detik', 'iklan', 'udah', 'menit', 'putar', 'lagu', 'iklan', 'nya', 'lagu', 'ya', 'aja', 'perdapat', 'iklan', 'dikurangi', 'iklan', 'nya', 'kasih', 'bintang', 'deh']","['aplikasi', 'nya', 'bagus', 'gratis', 'puas', 'iklan', 'pas', 'ganti', 'lagu', 'iklan', 'kali', 'muncul', 'ya', 'kalo', 'gak', 'iklan', 'premium', 'kalo', 'iklan', 'nya', 'udah', 'kali', 'kayak', 'gitu', 'ya', 'banyak', 'sih', 'iklan', 'detik', 'iklan', 'udah', 'menit', 'putar', 'lagu', 'iklan', 'nya', 'lagu', 'ya', 'aja', 'dapat', 'iklan', 'rang', 'iklan', 'nya', 'kasih', 'bintang', 'deh']",aplikasi nya bagus gratis puas iklan pas ganti lagu iklan kali muncul ya kalo gak iklan premium kalo iklan nya udah kali kayak gitu ya banyak sih iklan detik iklan udah menit putar lagu iklan nya lagu ya aja dapat iklan rang iklan nya kasih bintang deh
2,"udah bagus aku suka,tapi ada kesalahan,dulu bisa dengerin lagu ga pake kuota,asalkan hidupin data,dan sekarang gabisa lagi padahal aku suka dengerin lagu,tolong di perbaiki,dan ada satu lagi,di Spotify ini iklannya itu loh banyak bgt,pernah aku malem'dengerin lagu di Spotify eh ada iklan podcast horor 😭kan aku takut",1,Negatif,"udah bagus aku suka,tapi ada kesalahan,dulu bisa dengerin lagu ga pake kuota,asalkan hidupin data,dan sekarang gabisa lagi padahal aku suka dengerin lagu,tolong di perbaiki,dan ada satu lagi,di spotify ini iklannya itu loh banyak bgt,pernah aku malem'dengerin lagu di spotify eh ada iklan podcast horor 😭kan aku takut",udah bagus aku suka tapi ada kesalahan dulu bisa dengerin lagu ga pake kuota asalkan hidupin data dan sekarang gabisa lagi padahal aku suka dengerin lagu tolong di perbaiki dan ada satu lagi di spotify ini iklannya itu loh banyak bgt pernah aku malem dengerin lagu di spotify eh ada iklan podcast horor kan aku takut,"['udah', 'bagus', 'aku', 'suka', 'tapi', 'ada', 'kesalahan', 'dulu', 'bisa', 'dengerin', 'lagu', 'ga', 'pake', 'kuota', 'asalkan', 'hidupin', 'data', 'dan', 'sekarang', 'gabisa', 'lagi', 'padahal', 'aku', 'suka', 'dengerin', 'lagu', 'tolong', 'di', 'perbaiki', 'dan', 'ada', 'satu', 'lagi', 'di', 'spotify', 'ini', 'iklannya', 'itu', 'loh', 'banyak', 'bgt', 'pernah', 'aku', 'malem', 'dengerin', 'lagu', 'di', 'spotify', 'eh', 'ada', 'iklan', 'podcast', 'horor', 'kan', 'aku', 'takut']","['udah', 'bagus', 'suka', 'kesalahan', 'dengerin', 'lagu', 'ga', 'pake', 'kuota', 'hidupin', 'data', 'gabisa', 'suka', 'dengerin', 'lagu', 'tolong', 'perbaiki', 'spotify', 'iklannya', 'loh', 'bgt', 'malem', 'dengerin', 'lagu', 'spotify', 'eh', 'iklan', 'podcast', 'horor', 'takut']","['udah', 'bagus', 'suka', 'salah', 'dengerin', 'lagu', 'ga', 'pake', 'kuota', 'hidupin', 'data', 'gabisa', 'suka', 'dengerin', 'lagu', 'tolong', 'baik', 'spotify', 'iklan', 'loh', 'bgt', 'malem', 'dengerin', 'lagu', 'spotify', 'eh', 'iklan', 'podcast', 'horor', 'takut']",udah bagus suka salah dengerin lagu ga pake kuota hidupin data gabisa suka dengerin lagu tolong baik spotify iklan loh bgt malem dengerin lagu spotify eh iklan podcast horor takut
3,"Maaf kenapa Spotify jadi memaksakan untuk premium ya, soalnya 1 lagu saja iklan nya (4-5) itupun tidak hanya sekali, terus kenapa pemutaran playlist nya kadang tidak sesuai, maaf tolong banget iklan nya dikurangi dan pemutaran lagunya disesuaikan, soalnya itu agak mengganggu kami para pendengar Spotify, terimakasih🙏",3,Negatif,"maaf kenapa spotify jadi memaksakan untuk premium ya, soalnya 1 lagu saja iklan nya (4-5) itupun tidak hanya sekali, terus kenapa pemutaran playlist nya kadang tidak sesuai, maaf tolong banget iklan nya dikurangi dan pemutaran lagunya disesuaikan, soalnya itu agak mengganggu kami para pendengar spotify, terimakasih🙏",maaf kenapa spotify jadi memaksakan untuk premium ya  soalnya lagu saja iklan nya itupun tidak hanya sekali  terus kenapa pemutaran playlist nya kadang tidak sesuai  maaf tolong banget iklan nya dikurangi dan pemutaran lagunya disesuaikan  soalnya itu agak mengganggu kami para pendengar spotify  terimakasih,"['maaf', 'kenapa', 'spotify', 'jadi', 'memaksakan', 'untuk', 'premium', 'ya', 'soalnya', 'lagu', 'saja', 'iklan', 'nya', 'itupun', 'tidak', 'hanya', 'sekali', 'terus', 'kenapa', 'pemutaran', 'playlist', 'nya', 'kadang', 'tidak', 'sesuai', 'maaf', 'tolong', 'banget', 'iklan', 'nya', 'dikurangi', 'dan', 'pemutaran', 'lagunya', 'disesuaikan', 'soalnya', 'itu', 'agak', 'mengganggu', 'kami', 'para', 'pendengar', 'spotify', 'terimakasih']","['maaf', 'spotify', 'memaksakan', 'premium', 'ya', 'lagu', 'iklan', 'nya', 'itupun', 'pemutaran', 'playlist', 'nya', 'kadang', 'sesuai', 'maaf', 'tolong', 'banget', 'iklan', 'nya', 'dikurangi', 'pemutaran', 'lagunya', 'disesuaikan', 'mengganggu', 'pendengar', 'spotify', 'terimakasih']","['maaf', 'spotify', 'paksa', 'premium', 'ya', 'lagu', 'iklan', 'nya', 'itu', 'putar', 'playlist', 'nya', 'kadang', 'sesuai', 'maaf', 'tolong', 'banget', 'iklan', 'nya', 'rang', 'putar', 'lagu', 'sesuai', 'ganggu', 'dengar', 'spotify', 'terimakasih']",maaf spotify paksa premium ya lagu iklan nya itu putar playlist nya kadang sesuai maaf tolong banget iklan nya rang putar lagu sesuai ganggu dengar spotify terimakasih
4,"Padahal dulu iklannya tidak separah sekarang yang bahkan bisa 4 iklan SEKALIGUS tanpa jeda lagu. Saya maklumi karena saya bukan pengguna premium, tetapi iklannya keterlaluan banyaknya. Seolah maksa premium",1,Negatif,"padahal dulu iklannya tidak separah sekarang yang bahkan bisa 4 iklan sekaligus tanpa jeda lagu. saya maklumi karena saya bukan pengguna premium, tetapi iklannya keterlaluan banyaknya. seolah maksa premium",padahal dulu iklannya tidak separah sekarang yang bahkan bisa iklan sekaligus tanpa jeda lagu  saya maklumi karena saya bukan pengguna premium  tetapi iklannya keterlaluan banyaknya  seolah maksa premium,"['padahal', 'dulu', 'iklannya', 'tidak', 'separah', 'sekarang', 'yang', 'bahkan', 'bisa', 'iklan', 'sekaligus', 'tanpa', 'jeda', 'lagu', 'saya', 'maklumi', 'karena', 'saya', 'bukan', 'pengguna', 'premium', 'tetapi', 'iklannya', 'keterlaluan', 'banyaknya', 'seolah', 'maksa', 'premium']","['iklannya', 'separah', 'iklan', 'jeda', 'lagu', 'maklumi', 'pengguna', 'premium', 'iklannya', 'banyaknya', 'maksa', 'premium']","['iklan', 'parah', 'iklan', 'jeda', 'lagu', 'maklum', 'guna', 'premium', 'iklan', 'banyak', 'maksa', 'premium']",iklan parah iklan jeda lagu maklum guna premium iklan banyak maksa premium
5,"Maaf,tapi tolong menambahkan Spotify mode ofline,karena saat saya kehabisan kuota saya ingin memakai Spotify untuk mendengarkan lagu, tetapi Spotify tidak mendukung dan malah ada layar hitam,dan ada kata ""Lagu yang anda sukai akam muncul disini"",tapi aku udah nungguin tapi tetep ajah layar item",4,Positif,"maaf,tapi tolong menambahkan spotify mode ofline,karena saat saya kehabisan kuota saya ingin memakai spotify untuk mendengarkan lagu, tetapi spotify tidak mendukung dan malah ada layar hitam,dan ada kata ""lagu yang anda sukai akam muncul disini"",tapi aku udah nungguin tapi tetep ajah layar item",maaf tapi tolong menambahkan spotify mode ofline karena saat saya kehabisan kuota saya ingin memakai spotify untuk mendengarkan lagu  tetapi spotify tidak mendukung dan malah ada layar hitam dan ada kata  lagu yang anda sukai akam muncul disini  tapi aku udah nungguin tapi tetep ajah layar item,"['maaf', 'tapi', 'tolong', 'menambahkan', 'spotify', 'mode', 'ofline', 'karena', 'saat', 'saya', 'kehabisan', 'kuota', 'saya', 'ingin', 'memakai', 'spotify', 'untuk', 'mendengarkan', 'lagu', 'tetapi', 'spotify', 'tidak', 'mendukung', 'dan', 'malah', 'ada', 'layar', 'hitam', 'dan', 'ada', 'kata', 'lagu', 'yang', 'anda', 'sukai', 'akam', 'muncul', 'disini', 'tapi', 'aku', 'udah', 'nungguin', 'tapi', 'tetep', 'ajah', 'layar', 'item']","['maaf', 'tolong', 'spotify', 'mode', 'ofline', 'kehabisan', 'kuota', 'memakai', 'spotify', 'mendengarkan', 'lagu', 'spotify', 'mendukung', 'layar', 'hitam', 'lagu', 'sukai', 'akam', 'muncul', 'udah', 'nungguin', 'tetep', 'ajah', 'layar', 'item']","['maaf', 'tolong', 'spotify', 'mode', 'ofline', 'habis', 'kuota', 'pakai', 'spotify', 'dengar', 'lagu', 'spotify', 'dukung', 'layar', 'hitam', 'lagu', 'suka', 'akam', 'muncul', 'udah', 'nungguin', 'tetep', 'ajah', 'layar', 'item']",maaf tolong spotify mode ofline habis kuota pakai spotify dengar lagu spotify dukung layar hitam lagu suka akam muncul udah nungguin tetep ajah layar item
6,Menurut saya aplikasinya sudah bagus namun bagi saya spotify sendiri sepertinya harus menambahkan beberapa fitur seperti: Translet lirik lagu Ketika saya mendengarkan lagu ada beberapa lagu yang memiliki lirik ketika diterjemahkan itu ke bahasa Inggris tapi karena saya tidak bisa bahasa Inggris jadi menurut saya spotify juga harus bisa membuatnya menjadi lebih ke bahasa Indonesia dengan cara yaitu menterjemahkan otomatis.,5,Positif,menurut saya aplikasinya sudah bagus namun bagi saya spotify sendiri sepertinya harus menambahkan beberapa fitur seperti: translet lirik lagu ketika saya mendengarkan lagu ada beberapa lagu yang memiliki lirik ketika diterjemahkan itu ke bahasa inggris tapi karena saya tidak bisa bahasa inggris jadi menurut saya spotify juga harus bisa membuatnya menjadi lebih ke bahasa indonesia dengan cara yaitu menterjemahkan otomatis.,menurut saya aplikasinya sudah bagus namun bagi saya spotify sendiri sepertinya harus menambahkan beberapa fitur seperti  translet lirik lagu ketika saya mendengarkan lagu ada beberapa lagu yang memiliki lirik ketika diterjemahkan itu ke bahasa inggris tapi karena saya tidak bisa bahasa inggris jadi menurut saya spotify juga harus bisa membuatnya menjadi lebih ke bahasa indonesia dengan cara yaitu menterjemahkan otomatis,"['menurut', 'saya', 'aplikasinya', 'sudah', 'bagus', 'namun', 'bagi', 'saya', 'spotify', 'sendiri', 'sepertinya', 'harus', 'menambahkan', 'beberapa', 'fitur', 'seperti', 'translet', 'lirik', 'lagu', 'ketika', 'saya', 'mendengarkan', 'lagu', 'ada', 'beberapa', 'lagu', 'yang', 'memiliki', 'lirik', 'ketika', 'diterjemahkan', 'itu', 'ke', 'bahasa', 'inggris', 'tapi', 'karena', 'saya', 'tidak', 'bisa', 'bahasa', 'inggris', 'jadi', 'menurut', 'saya', 'spotify', 'juga', 'harus', 'bisa', 'membuatnya', 'menjadi', 'lebih', 'ke', 'bahasa', 'indonesia', 'dengan', 'cara', 'yaitu', 'menterjemahkan', 'otomatis']","['aplikasinya', 'bagus', 'spotify', 'fitur', 'translet', 'lirik', 'lagu', 'mendengarkan', 'lagu', 'lagu', 'memiliki', 'lirik', 'diterjemahkan', 'bahasa', 'inggris', 'bahasa', 'inggris', 'spotify', 'membuatnya', 'bahasa', 'indonesia', 'menterjemahkan', 'otomatis']","['aplikasi', 'bagus', 'spotify', 'fitur', 'translet', 'lirik', 'lagu', 'dengar', 'lagu', 'lagu', 'milik', 'lirik', 'terjemah', 'bahasa', 'inggris', 'bahasa', 'inggris', 'spotify', 'buat', 'bahasa', 'indonesia', 'terjemah', 'otomatis']",aplikasi bagus spotify fitur translet lirik lagu dengar lagu lagu milik lirik terjemah bahasa inggris bahasa inggris spotify buat bahasa indonesia terjemah otomatis
7,"Aplikasi yang bagus, tapi kenapa setiap masuk ke opsi paket premium pasti tertulis ""Tidak dapat menghubung, Periksa pengaturanmu atau coba lagi"" Dan di semua gadget yang sudah saya coba Kemudian saya tidak bisa mengundang akun lain padahal suda terdaftar premium duo Tolong pencerahannya",3,Negatif,"aplikasi yang bagus, tapi kenapa setiap masuk ke opsi paket premium pasti tertulis ""tidak dapat menghubung, periksa pengaturanmu atau coba lagi"" dan di semua gadget yang sudah saya coba kemudian saya tidak bisa mengundang akun lain padahal suda terdaftar premium duo tolong pencerahannya",aplikasi yang bagus  tapi kenapa setiap masuk ke opsi paket premium pasti tertulis  tidak dapat menghubung  periksa pengaturanmu atau coba lagi  dan di semua gadget yang sudah saya coba kemudian saya tidak bisa mengundang akun lain padahal suda terdaftar premium duo tolong pencerahannya,"['aplikasi', 'yang', 'bagus', 'tapi', 'kenapa', 'setiap', 'masuk', 'ke', 'opsi', 'paket', 'premium', 'pasti', 'tertulis', 'tidak', 'dapat', 'menghubung', 'periksa', 'pengaturanmu', 'atau', 'coba', 'lagi', 'dan', 'di', 'semua', 'gadget', 'yang', 'sudah', 'saya', 'coba', 'kemudian', 'saya', 'tidak', 'bisa', 'mengundang', 'akun', 'lain', 'padahal', 'suda', 'terdaftar', 'premium', 'duo', 'tolong', 'pencerahannya']","['aplikasi', 'bagus', 'masuk', 'opsi', 'paket', 'premium', 'tertulis', 'menghubung', 'periksa', 'pengaturanmu', 'coba', 'gadget', 'coba', 'mengundang', 'akun', 'suda', 'terdaftar', 'premium', 'duo', 'tolong', 'pencerahannya']","['aplikasi', 'bagus', 'masuk', 'opsi', 'paket', 'premium', 'tulis', 'hubung', 'periksa', 'atur', 'coba', 'gadget', 'coba', 'undang', 'akun', 'suda', 'daftar', 'premium', 'duo', 'tolong', 'cerah']",aplikasi bagus masuk opsi paket premium tulis hubung periksa atur coba gadget coba undang akun suda daftar premium duo tolong cerah
8,"+ Sportify App TERBAIK gak ribet, ngerti apa yg kita mau, lengkap lagunya, sesuai yg kita inginkan, Pokoknya The Best - Iklannya keseringan dan kadang berurutan. Tidak bisa melakukan pembelian premium, atau tidak bisa menghubungi ⭐ ⭐⭐",3,Negatif,"+ sportify app terbaik gak ribet, ngerti apa yg kita mau, lengkap lagunya, sesuai yg kita inginkan, pokoknya the best - iklannya keseringan dan kadang berurutan. tidak bisa melakukan pembelian premium, atau tidak bisa menghubungi ⭐ ⭐⭐",sportify app terbaik gak ribet  ngerti apa yg kita mau  lengkap lagunya  sesuai yg kita inginkan  pokoknya the best iklannya keseringan dan kadang berurutan  tidak bisa melakukan pembelian premium  atau tidak bisa menghubungi  ,"['sportify', 'app', 'terbaik', 'gak', 'ribet', 'ngerti', 'apa', 'yg', 'kita', 'mau', 'lengkap', 'lagunya', 'sesuai', 'yg', 'kita', 'inginkan', 'pokoknya', 'the', 'best', 'iklannya', 'keseringan', 'dan', 'kadang', 'berurutan', 'tidak', 'bisa', 'melakukan', 'pembelian', 'premium', 'atau', 'tidak', 'bisa', 'menghubungi']","['sportify', 'app', 'terbaik', 'gak', 'ribet', 'ngerti', 'yg', 'lengkap', 'lagunya', 'sesuai', 'yg', 'pokoknya', 'the', 'best', 'iklannya', 'keseringan', 'kadang', 'berurutan', 'pembelian', 'premium', 'menghubungi']","['sportify', 'app', 'baik', 'gak', 'ribet', 'ngerti', 'yg', 'lengkap', 'lagu', 'sesuai', 'yg', 'pokok', 'the', 'best', 'iklan', 'sering', 'kadang', 'rurut', 'beli', 'premium', 'hubung']",sportify app baik gak ribet ngerti yg lengkap lagu sesuai yg pokok the best iklan sering kadang rurut beli premium hubung
9,"Kolom ""Baru saja diputar"" isinya album yang udah lama ga di denger, bukannya masukin musik yang baru di denger, musik yang baru aja di denger ga pernah masuk histori manapun begitu kita mau puter lagi harus nyari di kolom search.",1,Negatif,"kolom ""baru saja diputar"" isinya album yang udah lama ga di denger, bukannya masukin musik yang baru di denger, musik yang baru aja di denger ga pernah masuk histori manapun begitu kita mau puter lagi harus nyari di kolom search.",kolom  baru saja diputar  isinya album yang udah lama ga di denger  bukannya masukin musik yang baru di denger  musik yang baru aja di denger ga pernah masuk histori manapun begitu kita mau puter lagi harus nyari di kolom search,"['kolom', 'baru', 'saja', 'diputar', 'isinya', 'album', 'yang', 'udah', 'lama', 'ga', 'di', 'denger', 'bukannya', 'masukin', 'musik', 'yang', 'baru', 'di', 'denger', 'musik', 'yang', 'baru', 'aja', 'di', 'denger', 'ga', 'pernah', 'masuk', 'histori', 'manapun', 'begitu', 'kita', 'mau', 'puter', 'lagi', 'harus', 'nyari', 'di', 'kolom', 'search']","['kolom', 'diputar', 'isinya', 'album', 'udah', 'ga', 'denger', 'masukin', 'musik', 'denger', 'musik', 'aja', 'denger', 'ga', 'masuk', 'histori', 'manapun', 'puter', 'nyari', 'kolom', 'search']","['kolom', 'putar', 'isi', 'album', 'udah', 'ga', 'denger', 'masukin', 'musik', 'denger', 'musik', 'aja', 'denger', 'ga', 'masuk', 'histori', 'mana', 'puter', 'nyari', 'kolom', 'search']",kolom putar isi album udah ga denger masukin musik denger musik aja denger ga masuk histori mana puter nyari kolom search
